"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-153486661","China","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","China","Asia"
"rayyan-153486661","Chile","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Chile","Americas"
"rayyan-153486661","Colombia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Colombia","Americas"
"rayyan-153486661","Costa Rica","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Costa Rica","Americas"
"rayyan-153486661","Czech Republic","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Czech Republic","Europe"
"rayyan-153486661","France","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","France","Europe"
"rayyan-153486661","Finland","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Finland","Europe"
"rayyan-153486661","Germany","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Germany","Europe"
"rayyan-153486661","Guatemala","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Guatemala","Americas"
"rayyan-153486661","Greece","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Greece","Europe"
"rayyan-153486661","Hungary","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Hungary","Europe"
"rayyan-153486661","Indonesia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Indonesia","Asia"
"rayyan-153486661","Italy","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Italy","Europe"
"rayyan-153486661","Japan","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Japan","Asia"
"rayyan-153486661","Lebanon","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Lebanon","Asia"
"rayyan-153486661","Malaysia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Malaysia","Asia"
"rayyan-153486661","Mexico","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Mexico","Americas"
"rayyan-153486661","Mozambique","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Mozambique","Africa"
"rayyan-153486661","Norway","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Norway","Europe"
"rayyan-153486661","Paraguay","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Paraguay","Americas"
"rayyan-153486661","Poland","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Poland","Europe"
"rayyan-153486661","Romania","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Romania","Europe"
"rayyan-153486661","Russia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Russia","Europe"
"rayyan-153486661","Senegal","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Senegal","Africa"
"rayyan-153486661","Slovakia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Slovakia","Europe"
"rayyan-153486661","Spain","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Spain","Europe"
"rayyan-153486661","South Korea","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","South Korea","Asia"
"rayyan-153486661","Switzerland","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Switzerland","Europe"
"rayyan-153486661","Taiwan","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Taiwan","Asia"
"rayyan-153486661","Turkey","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Turkey","Asia"
"rayyan-153486661","Ukraine","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Ukraine","Europe"
"rayyan-153486661","Vietnam","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Accessibility of evidence, Language barrier, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, NGO/non-profit, Private sector, Academic institution","National reports on biodiversity assessments","Vietnam","Asia"
"rayyan-153486695","Australia","Marine","Fish","Overexploitation","Practitioners, Recrational fishers: coded as practitioners","No description provided","Surveys","Stakeholder perceptions","Format and language","Natural sciences","Single","Local","Local recreational fishers","Management of fish stocks","Australia","Oceania"
"rayyan-153486753","Australia","Not mentioned","Not mentioned","Species conservation prioritisation","Researchers, Practitioners, Mining and agriculture representatives, Indigenous representatives","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Source of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources","Natural sciences","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Community/local organisation, Private sector","Species conservation prioritisation","Australia","Oceania"
"rayyan-153486972","Australia","Marine","Not mentioned","Not reported","Researchers","No description provided","Surveys","Stakeholder perceptions","Scientist-actor relationships, Researcher skills and awareness, Academic demands on researchers, Culture of researchers, Practitioner/policymaker research skills, Practitioner/policymaker awareness of evidence","Both natural and social sciences","Multi-region","Not reported","Academic institution","Not described","Australia","Oceania"
"rayyan-153487686","Spain","Marine, Terrestrial ecosystems","Not mentioned","Protected area management","Practitioners","Decision-making tools","Surveys","Stakeholder perceptions","Relevance, Capacity and resources","Not mentioned","Multi-country","Regional","Government/statutory body","Protected area management","Spain","Europe"
"rayyan-153487686","Italy","Marine, Terrestrial ecosystems","Not mentioned","Protected area management","Practitioners","Decision-making tools","Surveys","Stakeholder perceptions","Relevance, Capacity and resources","Not mentioned","Multi-country","Regional","Government/statutory body","Protected area management","Italy","Europe"
"rayyan-153487686","Slovenia","Marine, Terrestrial ecosystems","Not mentioned","Protected area management","Practitioners","Decision-making tools","Surveys","Stakeholder perceptions","Relevance, Capacity and resources","Not mentioned","Multi-country","Regional","Government/statutory body","Protected area management","Slovenia","Europe"
"rayyan-153487686","Croatia","Marine, Terrestrial ecosystems","Not mentioned","Protected area management","Practitioners","Decision-making tools","Surveys","Stakeholder perceptions","Relevance, Capacity and resources","Not mentioned","Multi-country","Regional","Government/statutory body","Protected area management","Croatia","Europe"
"rayyan-83177478","Poland","Not mentioned","Not mentioned","Urbanisation","Practitioners","Decision-making tools","Surveys","Stakeholder perceptions","Format and language","Natural sciences","Multi-region","Not reported","Private sector","Urban planning","Poland","Europe"
"rayyan-83177550","Israel","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Interviews, Documentary analysis","Mixed data","Accessibility of evidence, Format and language, Language barrier, Relevance, Rigour, Spatial/temporal scale of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Researcher skills and awareness, Practitioner/policymaker research skills, Practitioner/policymaker awareness of evidence, Capacity and resources, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-region","National","Government/statutory body, Academic institution","Land-use planning and management","Israel","Asia"
"rayyan-83177565","Canada","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Canada","Americas"
"rayyan-83177565","Sweden","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Sweden","Europe"
"rayyan-83177565","UK","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","United Kingdom","Europe"
"rayyan-83177565","Spain","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Spain","Europe"
"rayyan-83177565","Laos","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Laos","Asia"
"rayyan-83177565","New Zealand","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","New Zealand","Oceania"
"rayyan-83177565","Sri Lanka","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Sri Lanka","Asia"
"rayyan-83177565","Chile","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Chile","Americas"
"rayyan-83177565","USA","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","United States","Americas"
"rayyan-83177565","Kenya","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Kenya","Africa"
"rayyan-83177565","Jordan","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Jordan","Asia"
"rayyan-83177565","Ecuador","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Ecuador","Americas"
"rayyan-83177565","Argentina","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Argentina","Americas"
"rayyan-83177565","Madagascar","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Madagascar","Africa"
"rayyan-83177565","Australia","Marine, Freshwater","Invertebrates, Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Uncertainty","Natural sciences","Multi-country","Local","Not detailed","Small scale fisheries management","Australia","Oceania"
"rayyan-83177582","Sweden","Forest","Plants","Overexploitation","Policymakers","No description provided","Documentary analysis","Document-based data","Existence of evidence, Social, political, and economic context","Natural sciences","Single","National","Government/statutory body","Policy around green tree retention and continuous cover forestry","Sweden","Europe"
"rayyan-83177615","Finland","Forest","Not mentioned","Land use change","Researchers, Practitioners","No description provided","Focus groups","Stakeholder perceptions","Existence of evidence, Format and language, Time lag, Uncertainty, Scientist-actor relationships, Relationships between colleagues, Practitioner/policymaker research skills, Practitioner/policymaker awareness of evidence, Practitioner/policymaker-stakeholder relationships","Both natural and social sciences","Multi-region","Not reported","Government/statutory body, Private sector, Academic institution","Forest management and conservation","Finland","Europe"
