Marca temporal,Reviewer name,Location,Biome,Taxonomic group,Conservation problem,Stakeholder population,Type of scientific evidence,Study design,Data collected,Factors influencing evidence use,rayyan key,Evidence discipline,Scale of study,Scale of decision-making,Type of organisation studied,Description of decision type
25/09/2025 11:36:19,Philip Martin,USA,Not mentioned,Not mentioned,Not mentioned,"Researchers, Practitioners",Research data,Surveys,Opinions,Format and language,rayyan-83177440,Natural sciences,,,,
25/09/2025 12:24:10,Philip Martin,Australia,Not mentioned,Not mentioned,Protected area managment,Practitioners,No description provided,Surveys,Opinions,"Accessibility of evidence, Format and language, Nature of decision, Practitioner/policymaker research skills",rayyan-83177449,Not mentioned,,,,
25/09/2025 12:41:48,Philip Martin,Belize,Marine,Not mentioned,Marie Protected Area management,"Researchers, Practitioners",No description provided,Interviews,Opinions,"Source of evidence, Scientist-actor relationships, Nature of decision, Practitioner/policmaker attitude towards evidence use, Other stakeholder values and beliefs",rayyan-83177457,Not mentioned,,,,
25/09/2025 13:17:41,Philip Martin,USA,Not mentioned,Not mentioned,Not mentioned,Practitioners,Research data,Surveys,Opinions,"Source of evidence, Scientist-actor relationships, Relationships between colleagues",rayyan-83177458,Not mentioned,,,,
25/09/2025 13:38:31,Philip Martin,Vietnam,Not mentioned,Animals and plants,Not mentioned,"Researchers, Practitioners",Redlists,"Interviews, Documentary analysis",Opinions and records from documents,"Format and language, Relevance, Rigour, Timelieness of evidence",rayyan-83177462,Natural sciences,,,,
25/09/2025 13:52:43,Philip Martin,Europe,Not mentioned,Not mentioned,Not mentioned,"Researchers, Practitioners, Policymakers",Multiple forms of scientific evidence,"Interviews, Focus groups",Opinions,"Format and language, Rigour, Timelieness of evidence, Scientist-actor relationships, Relationships between colleagues, Practitioner/policymaker research skills",rayyan-83177470,Both natural and social sciences,,,,
25/09/2025 14:01:22,Philip Martin,New Zealand,Forest,Not mentioned,Forest restoration,Practitioners,No description provided,Surveys,Opinions,"Practitioner/policymaker research skills, Capacity and resources",rayyan-83177471,Natural sciences,,,,
1/10/2025 10:21:20,Philip Martin,USA,Not mentioned,Not mentioned,Climate change,"Researchers, Practitioners",Mixture of different tyoes including climate models and qualitative assessments drawn from literature,Interviews,Mixed data,"Quantity of information, Relevance, Scientist-actor relationships, Social, political, and economic context, Capacity and resources, Management, Other stakeholder values and beliefs",rayyan-83177488,Natural sciences,Multi-region,Regional,,
1/10/2025 10:34:47,Philip Martin,Australia,Marine,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",No description provided,"Surveys, Interviews",Stakeholder perceptions,"Rigour, Practitioner/policymaker-stakeholder relationships",rayyan-83177706,Not mentioned,Multi-region,Local,,
1/10/2025 11:10:31,Philip Martin,Global,Not mentioned,Not mentioned,"Various: Grazing impacts of reindeer, managment of protected forests","Researchers, Practitioners, Policymakers",Peer-reviewed studies,Interviews,Stakeholder perceptions,"Existence of evidence, Format and language, Time lag, Relevance, Uncertainty, Inconclusive, Timeliness of evidence, Practitioner/policymaker research skills",rayyan-83177713,Natural sciences,Multi-country,Not reported,,
1/10/2025 11:31:20,Philip Martin,Global,Forest,Not mentioned,"Multiple: forest management and governdance, climate change impacts, climate change mitigation, wetland conservation, ","Researchers, Practitioners",Research produced during projects,Documentary analysis,Stakeholder perceptions,"Relevance, Scientist-actor relationships",rayyan-83177991,Not mentioned,Single,Not reported,,
1/10/2025 11:41:01,Philip Martin,Germany,Forest,Not mentioned,Not reported,Practitioners,No description provided,Interviews,Stakeholder perceptions,"Rigour, Practitioner/policymaker-stakeholder relationships",rayyan-83177996,Natural sciences,Multi-region,Regional,,
6/10/2025 16:27:35,Philip Martin,Canada,Freshwater,Fish,Not reported,"Researchers, Practitioners",No description provided,Interviews,Stakeholder perceptions,"Time lag, Quantity of information, Inconclusive, Scientist-actor relationships, Practitioner/policymaker research skills, Capacity and resources",rayyan-153485131,Natural sciences,Single,Regional,"Government/statutory body, NGO/non-profit, Private sector, Academic institution, First nations group",Not linked to a specific decision
6/10/2025 17:06:32,Philip Martin,UK,"Forest, Grassland, Shrubland, Freshwater",Not mentioned,Not reported,"Researchers, Practitioners",No description provided,"Interviews, Workshops",Stakeholder perceptions,"Accessibility of evidence, Relevance, Rigour, Timeliness of evidence, Scientist-actor relationships",rayyan-153485180,Not mentioned,Multi-region,Regional,"Government/statutory body, NGO/non-profit, Academic institution, Research funders",Catchment and upland management
6/10/2025 17:22:58,Philip Martin,Canada,Freshwater,Fish,Not reported,"Researchers, Practitioners","Data, Peer-reviewed studies",Interviews,Stakeholder perceptions,"Accessibility of evidence, Rigour, Uncertainty, Social, political, and economic context, Practitioner/policymaker research skills, Capacity and resources",rayyan-153485295,Natural sciences,Multi-unit,Regional,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",Fisheries management
7/10/2025 11:37:44,Philip Martin,Australia,Not mentioned,Not mentioned,Not reported,Practitioners,Site-level research and monitoring data,Surveys,Stakeholder perceptions,Existence of evidence,rayyan-153485431,Both natural and social sciences,Multi-region,Regional,Government/statutory body,Protected area management
7/10/2025 16:58:19,Philip Martin,France,Not mentioned,Not mentioned,"Agriculture impacts, Assessment of conservation status, Invasive species, Plant reintroduction","Researchers, Practitioners","Analyses of data, Protocol for survey of endangered species, Reintroduction protocol","Surveys, Interviews, Workshops",Mixed data,"Accessibility of evidence, Source of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources",rayyan-153485453,Natural sciences,Multi-unit,Regional,"NGO/non-profit, Academic institution","Public policy design, public policy assessment, agenda setting"
10/10/2025 12:11:13,Philip Martin,Global,Marine,Not mentioned,Not reported,"Researchers, Knowledge-brokers, Advisors",No description provided,Surveys,Stakeholder perceptions,"Rigour, Timeliness of evidence, Scientist-actor relationships, Relationships between colleagues, Nature of decision, Social, political, and economic context, Researcher skills and awareness, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker personal characteristics, Capacity and resources, Management, Practitioner/policymaker-stakeholder relationships",rayyan-153485643,Not mentioned,Not reported,Not reported,Not detailed,Not detailed
10/10/2025 12:22:47,Philip Martin,USA,Not mentioned,Not mentioned,Climate change,"Researchers, Practitioners",Multiple,"Surveys, Interviews, Documentary analysis",Stakeholder perceptions,"Scientist-actor relationships, Relationships between colleagues, Practitioner/policymaker-stakeholder relationships",rayyan-153485833,Natural sciences,Single,Regional,Government/statutory body,Consideration of climate change in Wyoming Statewide Habitat Plan
10/10/2025 12:36:43,Philip Martin,Netherlands,Marine,Not mentioned,Marine spatial planning,"Researchers, Policymakers",No description provided,"Interviews, Focus groups, Workshops, Documentary analysis",Mixed data,"Time lag, Quantity of information, Rigour, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Nature of decision, Social, political, and economic context, Researcher skills and awareness, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources",rayyan-153486288,Not mentioned,Multi-unit,National,"Government/statutory body, Academic institution",Marine spatial planning in the Dutch North Sea
10/10/2025 12:51:48,Philip Martin,"USA, Mexico",Marine,Not mentioned,Overexploitation,"Researchers, Practitioners",No description provided,Interviews,Stakeholder perceptions,"Relevance, Rigour, Source of evidence, Scientist-actor relationships, Practitioner/policymaker awareness of evidence, Capacity and resources, Management",rayyan-153486399,Both natural and social sciences,Multi-unit,Regional,"Government/statutory body, NGO/non-profit, Academic institution",Largely focussed on fisheries management
13/10/2025 10:33:44,Philip Martin,USA,Marine,"Invertebrates, Shellfish (coded as invertebrates)",Overexploitation,"Researchers, Practitioners",No description provided,"Interviews, Documentary analysis",Mixed data,"Accessibility of evidence, Scientist-actor relationships",rayyan-153486477,Natural sciences,Multi-unit,Local,"Government/statutory body, Private sector, Academic institution",
13/10/2025 10:57:32,Philip Martin,"Argentina, Belarus, Brazil,  China, Chile, Colombia, Costa Rica, Czech Republic, France, Finland, Germany, Guatemala, Greece, Hungary, Indonesia, Italy, Japan, Lebanon, Malaysia, Mexico, Mozambique, Norway, Paraguay, Poland, Romania, Russia, Senegal, Slovakia, Spain, South Korea, Switzerland, Taiwan, Turkey, Ukraine, Vietnam ",Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners",Peer-reviewed studies,Surveys,Stakeholder perceptions,"Accessibility of evidence, Language barrier, Relevance, Rigour",rayyan-153486661,Natural sciences,Multi-country,National,"Government/statutory body, NGO/non-profit, Private sector, Academic institution",National reports on biodiversity assessments
13/10/2025 11:05:47,Philip Martin,Australia,Marine,Fish,Overexploitation,"Practitioners, Recrational fishers: coded as practitioners",No description provided,Surveys,Stakeholder perceptions,Format and language,rayyan-153486695,Natural sciences,Single,Local,Local recreational fishers,Management of fish stocks
13/10/2025 11:22:28,Philip Martin,Australia,Not mentioned,Not mentioned,Species conservation prioritisation,"Researchers, Practitioners, Mining and agriculture representatives, Indigenous representatives",No description provided,Interviews,Stakeholder perceptions,"Existence of evidence, Source of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources",rayyan-153486753,Natural sciences,Multi-unit,Regional,"Government/statutory body, NGO/non-profit, Community/local organisation, Private sector",Species conservation prioritisation
13/10/2025 11:28:59,Philip Martin,Australia,Marine,Not mentioned,Not reported,Researchers,No description provided,Surveys,Stakeholder perceptions,"Scientist-actor relationships, Researcher skills and awareness, Academic demands on researchers, Culture of researchers, Practitioner/policymaker research skills, Practitioner/policymaker awareness of evidence",rayyan-153486972,Both natural and social sciences,Multi-region,Not reported,Academic institution,Not described
13/10/2025 13:53:51,Philip Martin,Global,Not mentioned,Not mentioned,Not reported,"Researchers, Practitioners, Policymakers",No description provided,Interviews,Stakeholder perceptions,"Existence of evidence, Language barrier, Relevance, Source of evidence, Social, political, and economic context",rayyan-153487561,Both natural and social sciences,Multi-country,International,"Government/statutory body, NGO/non-profit, Academic institution",Conservation and sustainable use of marine biological diversity of areas beyond national jurisdiction - linked to UN Convention on the Law of the Sea
13/10/2025 14:06:04,Philip Martin,"Spain, Italy, Slovenia, Croatia","Marine, Terrestrial ecosystems",Not mentioned,Protected area management,Practitioners,Decision-making tools,Surveys,Stakeholder perceptions,"Relevance, Capacity and resources",rayyan-153487686,Not mentioned,Multi-country,Regional,Government/statutory body,Protected area management
